content,sentiment
tambah sini tambah mahal    promo nya percuma aja dulu tanpa promo aja g semahal ini ini udah promo tarif nya lebih mahal,-1
agak menurun,1
akun tiba ditangguhkan padahal gapernah bikin order fiktif sistem grab error gak jelas ,-1
saya suka pelayan nya,1
mobil avanza e bisnis,1
sangat membantu ketika saya harus pp kerja karena saya gak ada kendaraan pribadi   dan disaat saya laper grabfood menjadi andalan   ,1
alhamdulillah belum pernah kecewa sm pelayanan grab,1
kurang lebih juga tiada yang sempurna kesempurnaan hanya milik allah subhanahuwataalla,1
grab ini     sangat bagusgrab ini juga pelayanan nya baguskebesihanyacara mengendarainya tidak ugal  saya suka banget dengan aplikasi grab ini,1
mantap ni drifer paham jalan dan ramah tamah  berpengalan dan kelas yg begini ni patut mendapatkan tip,1
dengan grabperjalanan pertama k medan jadi mudahaman dan nyaman,1
good job ,1
pake no telepon ga ya,1
amsyong lur,-1
dpet grabcar yg mengantuk saat menyetirrihh serem untung selamatklo ga idh di ugd gue,-1
sangat luar biasa aplikasi ini karena sangat membantu,1
aplikasi taik      verifikasi gak selesai selesai     mutar mutar gak jrlas anjing,-1
cepat dan jelas aplikasinya dan murah tarifnya,1
oke sanggat membantu,1
tingkatkan teus layanan terbaik kepada konsumen,1
bukan cuma saya pribadi yg dapat menggunakan aaplikasi ini yg tidak punya aplikasi ini bisa menggunakan nya,1
aplikasi lemotsering keluar sendiri  udah coba menitan masih aja kya gitu,-1
saya tidak bisa mendapatkan kode otp nya baik melalui sms maupun telepon langsung  mohon dibantu untuk pendaftaran akun grab saya  terimakasih,-1
terimakasih atas aplikasi inikami senang dan jadi mudah,1
app ny okelah  cuma tarifnya aj sekarang jadi agak naik ,1
saya suka pake grab terima kasih driver rahmat orangnya ramah  ,1
bismillahirrahmanirrahim semoga bermanfaat,1
sangat membantu utk memesan makanan dan byk sekali promonya,1
kampret lahpesen grabfood ga dapat  driver dari semalamkecewa,-1
semoga saja grab lebih baik dan nyaman kedepannya,1
suka kesel kalo grab mendadak mintak diperbaharui   memory gk cukup utk pembaharuan terpaksa di hapus instalan ny  bukan sekali aja tpi berkali kali ,-1
simple jangkauan sangat luas,1
sangat membantu buat perbudakan para drivernya  asu buntung,-1
saya merasa sangat puas atas aplikasi grab ini terimakasih grab,1
saya heran lihat driver grab sekarangkeramahan dan pelayanannya kurang  masa sedikit minta di canceljauj sikit cancel kan repot cari driver yg baru    trus juga grab sekrng promonya udh berkurangsetiap malam juga tdk pernh bisa digunakan tolonglh manager grabnyapelayannnya harus lbh di tingktkn   ,-1
aplikasi yg memudahkan tingkatkan lagi smoga lebih baik dan byk promonya ,1
membantu untuk semuah yg mager keluar rumah,1
good  tapi ada beberapa tempat yg harga nya gak update di grabfood,1
udah download susah masuk,-1
sippppppppppppppp,1
goood apliication,1
kenapa sering banget pesanan dibatalkan,-1
assalamualaikum adminknp setiap saya mau pesen makanan malah gak bisa setelah saya pencet pesankok agak ada respon dari aplikasi ny,-1
grab tolong donk di perbaiki apl nya masak waktu saya buka tiba kembali sendiri ke layar utama  badahal sdh saya update lo    tolong ya di perhatikan lagi aplnya   ,-1
selamat siang ini panas banget,1
keren bangeeet,1
tambah lg ya diskonan nya   terima kasih,1
ka kalo sudah daftar online apa lagi ya saya tidak mengerti nih,-1
semakin jelek aplikasinya setelah diupgrade,-1
akun saya tiba disuspend tanpa sebab pada tanggal september   padahal tidak melakukan hal apapun,-1
pembaruan terus,-1
kok gabisa donlot grab      udah   tapi nggak terinstal,-1
aduh sisi aktivitas i,1
makasi pak drever ramah sekali,1
pembatalan tak ada notifikasinya  sudah lama nunggu ternyata dibatalin sama driver,-1
anindita nirmala salsa bita,1
bgs lah pokoknya aplikasi ini,1
kenapa disuruh update trus dan mulai update gk bisa sama sekali terupdate,-1
mohon driver nya dibina lagi  kalau driver yg gal layak sebaiknya di keluarkan saja  soalnya hampir semua driver grab gak mau kalau lewat aplikasi  setiap pesan paati di suruh batal  dan di paksa untuk di luar aplikasi  kalau memang tidak bisa memilih driver yg layak sebaiknya aplikasi nya di tutup saja  biar tidak bikin semua orang kecewa  makasih,-1
app telalu lambat,1
ada tip utk grab food ditambahkan,1
ramah tingkatkan,1
bagus dengan ada nya grab aktifitas jadi lancar,1
ramaikan promonya,1
sahabat anak saya   juga sahabat sya stiap sklh dan les sll ditemani grab   minimal x pp secara anak saia hahahhaaaaa     skr sll grabfood kl bs rating untuk pelanggan doonk  masa yg di ksh rating drivernya sama restonya aja   hehehhe   sukses selalu yaa   bersama grab   ,1
aplikasi nya bagus saya sering pakai tapi kadang pengendaranya,1
memprmudah segala nyaaaaa,1
pelayanan oke banget,1
saya ksih bntng dan smoga tdk mengecewakan,1
puas dengan aplikasi grab soalnya banyak promosukses terus grab,1
oke jaya trus,1
mksh bang,1
susah bgt mau ngirm barang aneh gua padhl udh gua update   tolong dong bnerin,-1
drivernya cantik n ramah,1
suka sekali pakai jasa grab bikeselain drivernya ramah baik suka membantu   thanks grab   semoga selalu sukses,1
kenapa sya tidak bisa masuk   padalhan akun dan verivikasi sudah saya masuk kan semuanya  tapi kenapa aplikasi tidak bisa dipakai  ,-1
tarif lumayan terjangkau,1
apikasi bagus banget,1
lanjut kan jgn sampai tercemar,1
updatenya filenya gede terus,-1
semoga memuaskan para pelangan dengan playanan yang terbaik,1
saya pernah pesan ternyata sangat cepat dari waktu tertulis,1
gak bisa apknya akun ditanggukan ,-1
order food driver bisa beberapa order lu pikir bagus    makanan panas karna driver banyak mampir jadi dingin   ,-1
cari driver susah tulisannya driver sibuk mulu  udah gitu resto langganan saya grab food tiba di luar kawasan pengantaran dahlah rusak ini aplikasi,-1
sangat membantu dlm kondisi darurat,1
the best solution,1
nyaman n cepet penjemputan,1
hilangkan fiture order gabungan saya kecewa banget pesen minuman kopi janji jiwa nunggu sampai jam lama nya  kata drivernya order gabungan beda resto   pesanan saya yang terakhir  gilaa aja apa orang saya aus pengen minum nunggu smpe jam   ga efektif tolong lah di normain aja  saya sudah telpon call center nya juga semoga di dengar keluhan kami ,-1
mudah cepat handal,1
aplikasi yang mantap dan sangat mempermudah segala sesuatunya ,1
buat grab food ditambah dong promo di kota kecil  seperi parepare  jgn di mksr saja banjir promo  ,1
trimakasi greeb,1
bagus aplikasi nya saya menyukai,1
tolong ya pelayanan nya knp semua grabnya pada judes emg sy salah apa jutek parah ,-1
ada kode promo grabbike tapi ga bisa di pake  selalu begitu jadi maksudnya gimana  coba mohon lebih di atur lagi supaga tidak menyulitkan ,-1
good louck,1
cuman menguntungkan kastemer gk mikirin drever nya kasian sama drever nya,1
iya bagus sama banyak fiturnya,1
gomawo    but  jangan terus suruh update oy   kasihan yg rip memory nyaaa,1
lg butuh mau di pake malah dipaksa update duh gaguna pisan,-1
jengkel banget waktu login gak bisa bisa,-1
kurang jos bae,1
perjalanannya yaman pengemudinya ramah sangat memuaskan buat kami,1
cepat mendowload,1
alhamdulillah    bnyk nyamannya cm sekali doang sich pake grab car mengecewakan orgnya juga gak ramah   ,1
bagus mohon lebih ditingkatkan lagi performanya,1
layanan bagus  sangat membantu para disabilitas saat ingin mobilitas dan order grab food  sayangnya kalau mau isi offo agak susah  karna di alfamart sudah tidak kerjasama ,1
buat bantu ketika tidak ada motor,1
membantu disaat laper tengah malem,1
weeeewww,1
ho o,1
kenapa saya tidak bisa masuk aplikasi grab  tolong lah   masa udah dicoba pake nomor hpgmail fb gabisa,-1
gajelas minta verifikasi pake akun gmail ga bisa akun fb yang udah bener itu akun yang dipaks dulu buat instal grab gabisa juga mau nya apa si,1
kalau bisa kode promo untuk gc dan gb dimunculin spya bisa d pakai untuk x perjalanan sehari biar tambah syukak     ,1
tuna,1
p ii,1
saya suka apk inisangat membantu,1
parah banyakan tulisan jd pusing gw,-1
grab is good aplication,1
saya cukup puas dengan pelayanan nya    terimakasihgrebb,1
mantap banget bagi yg ga pnya kendaraan,1
yess i like it,1
grab maatab pegemudinya baik dan sopan,1
suka ajalah ksian,1
pengemudinya sopan dn ramah     mengemudikan kendaraan pun bikin hati nyaman,-1
 mudah n ramah drivernya  ,1
update yg gk banyak guna pake vermuk makin gk beres aja grab pantesan driver pada ngeluh sepi mau pesen aja disusahin bukan lebih mudah apkikasi toloool ,-1
cepat dan tepat waktu    god bless,1
drivernya padahal ribuan tp terkadang kalau kita pesan makanan ada jawaban   maaf seluruh driver kami sedang sibuk   napaya,1
kok setiap download malah grab canada ya apa server nya udah gila  tolong dibenahi  ini di indonesia bukan canada,1
sya kasih bintang satu dlu lumayan sih sangat membantu ok trimakasih,-1
pelayan yang mantap,1
memori masih banyak tapi nggak bisa di download ngelawak ,1
save drive ,1
dapat mempermudah dalam memesan kendaraan untuk perjalanan,1
